name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;397;0;444;3129;1027;3129;1027;0
header;179;165;179;196;1817;196;1817;165
A;583;137;583;142;588;142;588;137
D;962;243;962;255;970;255;970;243
A;979;251;979;251;979;251;979;251
A;736;522;736;534;742;534;742;522
A;438;660;438;669;445;669;445;660
A;769;846;769;858;776;858;776;846
B;792;1109;792;1128;808;1128;808;1109
A;867;1154;867;1174;882;1174;882;1154
B;624;2085;624;2104;637;2104;637;2085
B;723;2205;723;2220;731;2220;731;2205
A;884;3000;884;3004;885;3004;885;3000
A;1023;3032;1023;3036;1026;3036;1026;3032
