name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;847;0;894;3133;1558;3133;1181;0
header;101;329;101;359;1724;359;1724;329
A;881;449;881;453;886;453;886;449
A;1120;456;1120;458;1121;458;1121;456
B;1183;527;1183;571;1215;571;1215;527
B;952;527;952;571;983;571;983;527
B;911;528;911;571;943;571;943;528
B;868;529;868;571;902;571;902;529
A;932;1064;932;1071;938;1071;938;1064
B;1280;1909;1280;1927;1294;1927;1294;1909
A;942;2428;942;2430;949;2430;949;2428
A;1191;2439;1191;2442;1194;2442;1194;2439
A;1442;2796;1442;2797;1445;2797;1445;2796
